antecedent,consequent,support,confidence,lift,antecedent_support,consequent_support
Activity=SedentaryHigh + Risk=High,Hypertension=Yes,0.10911172910191395,0.6991614255765198,1.4260840155319539,0.15606085391787994,0.4902666448552266
Age=60+ + Rx=Statin,Cholesterol=High,0.11794536234254867,0.886838868388684,1.4184317117896454,0.13299525601177817,0.6252249304760347
Rx=Statin + Sex=Male,Cholesterol=High,0.08359234418452478,0.8856152512998268,1.416474628779655,0.09438900703418943,0.6252249304760347
Hypertension=Yes + Sex=Male,Risk=High,0.18223458203827908,0.7436582109479306,1.412673288851678,0.24505152952723702,0.5264191068215279
Diabetes=Prediabetes + Rx=Antihypertensive,Hypertension=Yes,0.09684279404547685,0.6875725900116145,1.4024461937741073,0.1408473744478979,0.4902666448552266
Activity=Active + Hypertension=Yes,Risk=High,0.12726975298544085,0.7374407582938388,1.4008624473120685,0.17258301979388188,0.5264191068215279
Diet=FiberLow + Smoking=Ever,Risk=High,0.17650907901194177,0.7325186693822131,1.3915123138388652,0.24096188450842468,0.5264191068215279
Sex=Female + Smoking=Ever,Risk=High,0.13168656960575822,0.7318181818181819,1.3901816486807166,0.17994438082774414,0.5264191068215279
BMI=Obese + Smoking=Ever,Hypertension=Yes,0.10060526746278423,0.6795580110497238,1.3860988059883088,0.14804514968100768,0.4902666448552266
Cholesterol=High + Diabetes=Prediabetes,Hypertension=Yes,0.09716996564698184,0.678082191780822,1.3830885680200748,0.14330116145918534,0.4902666448552266
Age=45-59 + Hypertension=Yes,Risk=High,0.09749713724848683,0.7268292682926828,1.3807045733602143,0.13414035661704565,0.5264191068215279
BMI=Overweight + Hypertension=Yes,Risk=High,0.12219859316211353,0.7266536964980544,1.3803710524215682,0.16816620317356454,0.5264191068215279
BMI=Overweight + Risk=High,Cholesterol=High,0.13724848683134305,0.857873210633947,1.3721033324451382,0.1599869131359398,0.6252249304760347
BMI=Obese + Diabetes=No,Risk=High,0.12481596597415344,0.7218543046357616,1.3712539975880704,0.17291019139538688,0.5264191068215279
Diabetes=Yes + Risk=High,Cholesterol=High,0.1351218714215606,0.855072463768116,1.3676237496113273,0.15802388352690985,0.6252249304760347
Cholesterol=High + Sex=Female,Risk=High,0.2367086536888598,0.7191848906560636,1.3661831064575876,0.3291346311140193,0.5264191068215279
Hypertension=Yes + Smoking=Never,Risk=High,0.18501554065107148,0.7185514612452351,1.3649798267843758,0.2574840503844266,0.5264191068215279
BMI=Obese + Rx=Antihypertensive,Hypertension=Yes,0.16767544577130705,0.6690600522193211,1.364686052458028,0.2506134467528219,0.4902666448552266
Age=45-59 + Risk=High,Cholesterol=High,0.10813021429739898,0.8529032258064516,1.3641542175182728,0.12677899558318337,0.6252249304760347
Cholesterol=High + Diet=SodiumHigh,Risk=High,0.338622607557664,0.7140393239047947,1.3564084484244903,0.4742352363814821,0.5264191068215279
Diabetes=Yes + Hypertension=Yes,Cholesterol=High,0.10845738589890397,0.846743295019157,1.3543018740063073,0.12808768198920334,0.6252249304760347
BMI=Obese + Sex=Male,Hypertension=Yes,0.09520693603795191,0.6583710407239819,1.3428836075894899,0.1446098478652053,0.4902666448552266
BMI=Obese + Cholesterol=High,Hypertension=Yes,0.17258301979388188,0.6581409856519026,1.3424143627928196,0.262228038606249,0.4902666448552266
Age=60+ + Diabetes=Yes,Cholesterol=High,0.08228365777850483,0.8369384359400998,1.338619743302415,0.09831506625224931,0.6252249304760347
Hypertension=No + Risk=High,Cholesterol=High,0.11565516113201374,0.8366863905325445,1.3382166157314088,0.138230001635858,0.6252249304760347
Activity=SedentaryHigh + Sex=Female,Risk=High,0.08539178799280223,0.7044534412955467,1.3381988460657788,0.12121707835759855,0.5264191068215279
Diabetes=Yes + Diet=SugarHigh,Cholesterol=High,0.08113855717323737,0.836424957841484,1.3377984739102542,0.09700637984622935,0.6252249304760347
Diabetes=Yes + Rx=Antihypertensive,Cholesterol=High,0.1079666284966465,0.8354430379746836,1.3362279673310415,0.1292327825944708,0.6252249304760347
Risk=High + Smoking=Never,Cholesterol=High,0.2031735645345984,0.8352387357094821,1.3359012013061393,0.2432520857189596,0.6252249304760347
Age=30-44 + Risk=High,Cholesterol=High,0.08244724357925733,0.8344370860927154,1.3346190233607456,0.09880582365450678,0.6252249304760347
Alcohol=Regular + Cholesterol=High,Risk=High,0.31882872566661213,0.7020893371757925,1.3337079298184025,0.45411418288892524,0.5264191068215279
Activity=SedentaryHigh + Alcohol=Regular,Risk=High,0.11827253394405365,0.7012609117361784,1.3321342304049901,0.16865696057582202,0.5264191068215279
Alcohol=Regular + Diabetes=Prediabetes,Hypertension=Yes,0.08670047439882218,0.6527093596059114,1.3313354405308429,0.13283167021102568,0.4902666448552266
Diet=SugarHigh + Risk=High,Cholesterol=High,0.2870930803206282,0.8321479374110954,1.3309577031381543,0.3450024537870113,0.6252249304760347
Cholesterol=High + Rx=Antihypertensive,Risk=High,0.31015867822672993,0.6993729251198819,1.3285477598688122,0.4434811058400131,0.5264191068215279
Alcohol=Regular + Diabetes=Yes,Cholesterol=High,0.0984786520530018,0.8292011019283746,1.326244462608099,0.11876329134631114,0.6252249304760347
Risk=High + Sex=Male,Cholesterol=High,0.19842957631277605,0.828551912568306,1.3252061333150325,0.23948961230165222,0.6252249304760347
Diabetes=Yes,Cholesterol=High,0.14313757565843285,0.8270321361058601,1.3227753657810368,0.17307377719613937,0.6252249304760347
Risk=High,Cholesterol=High,0.4351382300016359,0.8266003729024238,1.3220847931848554,0.5264191068215279,0.6252249304760347
Cholesterol=High,Risk=High,0.4351382300016359,0.695970695970696,1.3220847931848554,0.6252249304760347,0.5264191068215279
Risk=High + Sex=Female,Cholesterol=High,0.2367086536888598,0.8249714937286203,1.3194795241138295,0.28692949451987565,0.6252249304760347
Risk=High + Rx=Antihypertensive,Cholesterol=High,0.31015867822672993,0.8236316246741964,1.3173365048752912,0.3765745133322428,0.6252249304760347
Hypertension=Yes + Risk=High,Cholesterol=High,0.31948306886962213,0.8230088495575222,1.3163404231672249,0.3881891051856699,0.6252249304760347
Activity=SedentaryHigh + Diet=SodiumHigh,Risk=High,0.12399803697039097,0.6928702010968921,1.3161950091066816,0.1789628660232292,0.5264191068215279
Diabetes=Prediabetes,Hypertension=Yes,0.123016522165876,0.6438356164383561,1.3132356100392628,0.1910682152789138,0.4902666448552266
Alcohol=Regular + Risk=High,Cholesterol=High,0.31882872566661213,0.8206315789473684,1.3125381585832714,0.3885162767871749,0.6252249304760347
Activity=Active + Risk=High,Cholesterol=High,0.14575494847047277,0.8204419889502763,1.3122349237187438,0.17765417961720922,0.6252249304760347
Age=45-59 + Rx=Antihypertensive,Hypertension=Yes,0.09798789465074431,0.6427038626609441,1.310927164646764,0.15246196630132505,0.4902666448552266
Risk=High + Smoking=Ever,Cholesterol=High,0.23196466546703745,0.8191796649335643,1.3102159319044686,0.2831670211025683,0.6252249304760347
Diabetes=Prediabetes + Diet=SodiumHigh,Hypertension=Yes,0.09308032062816947,0.641488162344983,1.3084474929645915,0.1451006052674628,0.4902666448552266
Diabetes=Yes + Diet=SodiumHigh,Cholesterol=High,0.10371339767708163,0.8180645161290323,1.3084323357134418,0.12677899558318337,0.6252249304760347
Cholesterol=High + Diet=SugarHigh,Risk=High,0.2870930803206282,0.6887755102040817,1.3084166233305006,0.41681662031735645,0.5264191068215279
BMI=Obese + Risk=High,Cholesterol=High,0.24063471290691968,0.8172222222222222,1.307085150299436,0.29445444135449045,0.6252249304760347
Diet=SodiumHigh + Risk=High,Cholesterol=High,0.338622607557664,0.8165680473372781,1.3060388470363111,0.414690004907574,0.6252249304760347
Diabetes=Prediabetes + Risk=High,Cholesterol=High,0.12628823818092588,0.8160676532769555,1.3052385045740527,0.15475216751185997,0.6252249304760347
Age=60+ + Risk=High,Cholesterol=High,0.20742679535416325,0.8149100257069409,1.3033869668096625,0.2545395059708817,0.6252249304760347
Activity=SedentaryHigh,Risk=High,0.15606085391787994,0.685344827586207,1.3018996056664023,0.2277114346474726,0.5264191068215279
Diabetes=No + Risk=High,Cholesterol=High,0.17372812039914937,0.8131699846860644,1.300603902769731,0.21364305578275805,0.6252249304760347
Activity=SedentaryHigh + Diet=SugarHigh,Risk=High,0.10387698347783413,0.6798715203426124,1.2915023629131106,0.15278913790283002,0.5264191068215279
Age=60+ + BMI=Obese,Cholesterol=High,0.08375592998527728,0.8050314465408805,1.2875869264009427,0.10404056927858663,0.6252249304760347
Alcohol=Regular + BMI=Obese,Hypertension=Yes,0.15589726811712742,0.6311258278145695,1.2873113731833377,0.24701455913626696,0.4902666448552266
