items,item_count,support
Age=30-44 + Smoking=Never,2,0.15262555210207754
Age=45-59 + Rx=Antihypertensive,2,0.15246196630132505
Activity=Active + Cholesterol=Normal,2,0.15213479469982005
Age=18-29 + Smoking=Never,2,0.1509896940945526
Age=60+ + Smoking=Ever,2,0.1508261082938001
Age=60+ + Smoking=Never,2,0.15033535089154262
Hypertension=Yes + Rx=Statin,2,0.14902666448552265
BMI=Obese + Smoking=Ever,2,0.14804514968100768
Activity=SedentaryHigh + Cholesterol=High,2,0.14608212007197774
Age=18-29 + Alcohol=Regular,2,0.14559136266972028
Diabetes=Prediabetes + Diet=SodiumHigh,2,0.1451006052674628
BMI=Obese + Sex=Male,2,0.1446098478652053
Age=30-44 + Cholesterol=High,2,0.1442826762637003
Cholesterol=High + Diabetes=Prediabetes,2,0.14330116145918534
Cholesterol=High + Diabetes=Yes,2,0.14313757565843285
Age=60+ + Sex=Male,2,0.14297398985768037
BMI=Normal + Diet=FiberLow,2,0.14297398985768037
Activity=SedentaryHigh + Diabetes=No,2,0.1411745460494029
Diabetes=Prediabetes + Rx=Antihypertensive,2,0.1408473744478979
Risk=NotHigh + Smoking=Ever,2,0.13872075903811548
Cholesterol=Normal + Smoking=Ever,2,0.138230001635858
Hypertension=No + Risk=High,2,0.138230001635858
Rx=Antihypertensive + Rx=Statin,2,0.13757565843284802
BMI=Normal + Cholesterol=High,2,0.1352854572223131
BMI=Normal + Sex=Male,2,0.1346311140193031
Age=30-44 + Sex=Female,2,0.13430394241779814
Age=45-59 + Hypertension=Yes,2,0.13414035661704565
Activity=Active + BMI=Obese,2,0.13348601341403565
Activity=Active + BMI=Overweight,2,0.13315884181253068
Activity=SedentaryHigh + Smoking=Never,2,0.13315884181253068
Age=60+ + Rx=Statin,2,0.13299525601177817
Alcohol=Regular + Diabetes=Prediabetes,2,0.13283167021102568
Alcohol=Regular + Rx=Statin,2,0.1323409128087682
Diet=SodiumHigh + Rx=Statin,2,0.13168656960575822
Age=30-44 + Diet=FiberLow,2,0.13152298380500574
Cholesterol=Normal + Hypertension=Yes,2,0.13135939800425322
Age=45-59 + Diabetes=No,2,0.13021429739898577
Diabetes=Prediabetes + Diet=SugarHigh,2,0.1292327825944708
Diabetes=Yes + Rx=Antihypertensive,2,0.1292327825944708
BMI=Obese + Hypertension=No,2,0.1289056109929658
Diabetes=Yes + Hypertension=Yes,2,0.12808768198920334
Age=45-59 + Risk=High,2,0.12677899558318337
Diabetes=Yes + Diet=SodiumHigh,2,0.12677899558318337
Activity=SedentaryHigh + Diet=FiberLow,2,0.12661540978243088
BMI=Overweight + Cholesterol=Normal,2,0.12547030917716342
Age=18-29 + Diet=FiberLow,2,0.12448879437264845
Age=45-59 + Smoking=Never,2,0.12416162277114347
Diabetes=Prediabetes + Hypertension=Yes,2,0.123016522165876
Activity=SedentaryHigh + Sex=Female,2,0.12121707835759855
Age=18-29 + Cholesterol=Normal,2,0.1202355635530836
Age=45-59 + Sex=Female,2,0.1202355635530836
Age=30-44 + Sex=Male,2,0.11876329134631114
Alcohol=Regular + Diabetes=Yes,2,0.11876329134631114
Activity=SedentaryHigh + Hypertension=Yes,2,0.11794536234254867
Age=60+ + BMI=Overweight,2,0.11794536234254867
Age=45-59 + Diet=FiberLow,2,0.11598233273351873
Age=60+ + Diabetes=No,2,0.11369213152298381
Age=45-59 + Sex=Male,2,0.11287420251922133
BMI=Normal + Smoking=Ever,2,0.1109111729101914
Diet=SugarHigh + Rx=Statin,2,0.11042041550793391
Age=18-29 + Sex=Female,2,0.11025682970718141
Activity=SedentaryHigh + Hypertension=No,2,0.10976607230492394
Age=45-59 + Smoking=Ever,2,0.10894814330116145
Age=30-44 + Cholesterol=Normal,2,0.10878455750040897
Activity=Active + Age=30-44,2,0.107803042695894
Activity=SedentaryHigh + Sex=Male,2,0.10649435628987404
Age=45-59 + Risk=NotHigh,2,0.10633077048912154
Diabetes=Prediabetes + Sex=Female,2,0.1045313266808441
Diet=FiberLow + Rx=Statin,2,0.10420415507933911
Age=60+ + BMI=Obese,2,0.10404056927858663
Activity=Active + BMI=Normal,2,0.10305905447407165
Age=18-29 + Sex=Male,2,0.10240471127106167
Hypertension=Yes + Risk=NotHigh,2,0.10207753966955668
Activity=Active + Age=18-29,2,0.10125961066579421
Diabetes=Prediabetes + Smoking=Never,2,0.10093243906428923
Age=30-44 + Smoking=Ever,2,0.10044168166203174
Diabetes=Prediabetes + Diet=FiberLow,2,0.09978733845902175
Age=45-59 + Hypertension=No,2,0.09896940945525928
Age=30-44 + Risk=High,2,0.09880582365450678
Age=60+ + Diabetes=Yes,2,0.09831506625224931
Age=30-44 + BMI=Obese,2,0.09766072304923933
BMI=Normal + Hypertension=Yes,2,0.09766072304923933
Diabetes=Yes + Diet=SugarHigh,2,0.09700637984622935
Rx=Statin + Smoking=Ever,2,0.09520693603795191
Diabetes=Yes + Diet=FiberLow,2,0.09504335023719941
Activity=SedentaryHigh + Smoking=Ever,2,0.09455259283494193
Rx=Statin + Sex=Male,2,0.09438900703418943
Age=18-29 + Cholesterol=High,2,0.0924259774251595
Rx=Statin + Sex=Female,2,0.09144446262064453
Cholesterol=Normal + Risk=High,2,0.09128087681989204
Activity=SedentaryHigh + BMI=Obese,2,0.09095370521838704
Age=45-59 + BMI=Obese,2,0.09062653361688205
Rx=Statin + Smoking=Never,2,0.09062653361688205
Diabetes=Prediabetes + Smoking=Ever,2,0.09013577621462457
Age=18-29 + BMI=Normal,2,0.0894814330116146
Diabetes=Yes + Smoking=Never,2,0.0894814330116146
Age=60+ + Diabetes=Prediabetes,2,0.0891542614101096
BMI=Obese + Diabetes=Yes,2,0.08866350400785211
Activity=Active + Age=45-59,2,0.08670047439882218
Diabetes=Yes + Sex=Male,2,0.08670047439882218
Diabetes=Prediabetes + Sex=Male,2,0.08653688859806968
Diabetes=Yes + Sex=Female,2,0.0863733027973172
Age=30-44 + Hypertension=Yes,2,0.0860461311958122
